,Grand Prix,Driver,Car,Time,year,Code
0,Great Britain,Nino  Farina ,Alfa Romeo,1:50.600,1950,FAR
1,Monaco,Juan Manuel  Fangio ,Alfa Romeo,1:51.000,1950,FAN
2,Switzerland,Nino  Farina ,Alfa Romeo,2:41.600,1950,FAR
3,Belgium,Nino  Farina ,Alfa Romeo,4:34.100,1950,FAR
4,France,Juan Manuel  Fangio ,Alfa Romeo,2:35.600,1950,FAN
5,Italy,Juan Manuel  Fangio ,Alfa Romeo,2:00.000,1950,FAN
6,Switzerland,Juan Manuel  Fangio ,Alfa Romeo,2:51.100,1951,FAN
7,Indianapolis 500,Lee  Wallard ,Kurtis Kraft Offenhauser,1:07.260,1951,WAL
8,Belgium,Juan Manuel  Fangio ,Alfa Romeo,4:22.100,1951,FAN
9,France,Juan Manuel  Fangio ,Alfa Romeo,2:27.800,1951,FAN
10,Great Britain,Nino  Farina ,Alfa Romeo,1:44.000,1951,FAR
11,Germany,Juan Manuel  Fangio ,Alfa Romeo,9:55.800,1951,FAN
12,Italy,Nino  Farina ,Alfa Romeo,1:56.500,1951,FAR
13,Spain,Juan Manuel  Fangio ,Alfa Romeo,2:16.930,1951,FAN
14,Switzerland,Piero Taruffi ,Ferrari,2:49.100,1952,TAR
15,Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.600,1952,VUK
16,Belgium,Alberto  Ascari ,Ferrari,4:55.000,1952,ASC
17,France,Alberto  Ascari ,Ferrari,2:17.300,1952,ASC
18,Great Britain,Alberto  Ascari ,Ferrari,1:52.000,1952,ASC
19,Germany,Alberto  Ascari ,Ferrari,10:05.100,1952,ASC
20,Netherlands,Alberto  Ascari ,Ferrari,1:49.800,1952,ASC
21,Italy,Alberto  Ascari ,Ferrari,2:06.100,1952,ASC
22,Argentina,Alberto  Ascari ,Ferrari,1:48.400,1953,ASC
23,Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.240,1953,VUK
24,Netherlands,Luigi Villoresi ,Ferrari,1:52.800,1953,VIL
25,Belgium,Jose Froilan  Gonzalez ,Maserati,4:34.000,1953,GON
26,France,Juan Manuel  Fangio ,Maserati,2:41.100,1953,FAN
27,Great Britain,Alberto  Ascari ,Ferrari,1:50.000,1953,ASC
28,Germany,Alberto  Ascari ,Ferrari,9:56.000,1953,ASC
29,Switzerland,Alberto  Ascari ,Ferrari,2:41.300,1953,ASC
30,Italy,Juan Manuel  Fangio ,Maserati,2:04.500,1953,FAN
31,Argentina,Jose Froilan  Gonzalez ,Ferrari,1:48.200,1954,GON
32,Indianapolis 500,Jack  McGrath ,Kurtis Kraft Offenhauser,1:04.040,1954,MCG
33,Belgium,Juan Manuel  Fangio ,Maserati,4:25.500,1954,FAN
34,France,Hans Herrmann ,Mercedes-Benz,2:32.900,1954,HER
35,Great Britain,Alberto  Ascari ,Maserati,1:50.000,1954,ASC
36,Germany,Karl  Kling ,Mercedes-Benz,9:55.100,1954,KLI
37,Switzerland,Juan Manuel  Fangio ,Mercedes-Benz,2:39.700,1954,FAN
38,Italy,Jose Froilan  Gonzalez ,Ferrari,2:00.800,1954,GON
39,Spain,Alberto  Ascari ,Lancia,2:20.400,1954,ASC
